id,name,journey_stage,journey_subcategory,description,detection_hint,example_fix
PC-041,Pratfall Effect,Entscheidung,Vertrauen,An otherwise competent source admitting a minor flaw increases likability and trust.,Are all claims presented as flawless with zero acknowledged limitation?,Acknowledge one honest limitation alongside the strengths.
PC-042,Smalltalk-Technik,Entscheidung,Vertrauen,"A light, informal exchange before the main ask builds rapport.",Does the flow go straight into a hard sell with no rapport step?,"Add a light, low-stakes interaction (quiz, preference question) before the ask."
PC-043,Social Proof,Entscheidung,Vertrauen,"People look to others' actions, especially similar others, to guide their own.","Are reviews, ratings, or usage stats absent near the decision point?","Add reviews, ratings, or ""X people chose this"" near the CTA."
PC-044,Trust Bias,Entscheidung,Vertrauen,People are predisposed to trust familiar-looking or consistently branded elements.,Does checkout branding look inconsistent with the rest of the site?,Keep branding visually consistent all the way through checkout.
PC-045,Uncanny Valley Effect,Entscheidung,Vertrauen,Near-human but imperfect representations feel unsettling and reduce trust.,Is a synthetic avatar or AI voice used in a way that feels almost-but-not-quite human?,"Use clearly human or clearly abstract representations, avoiding the near-human middle ground."
PC-046,Aesthetics Heuristic,Entscheidung,Produkt-Evaluation,"Attractive design is unconsciously assumed to signal better function (""what is beautiful is good"").",Is the visual design dated or inconsistent?,"Invest in polished, modern, consistent visual design."
PC-047,Curse of Knowledge,Entscheidung,Produkt-Evaluation,"Experts struggle to imagine what a novice doesn't already know, leading to jargon.",Is copy full of unexplained jargon or internal terminology?,Rewrite key copy in plain language a first-time visitor would understand.
PC-048,Decoy Effect,Entscheidung,Produkt-Evaluation,"Adding a third, deliberately inferior option makes one of the other two more attractive.",Are only two pricing options offered?,"Add a third, less-attractive tier that steers choice toward the target plan."
PC-049,Dilution Effect,Entscheidung,Produkt-Evaluation,Irrelevant information weakens the impact of the relevant information around it.,Is the key benefit buried among unrelated details?,Remove irrelevant details from the immediate vicinity of the key benefit/CTA.
PC-050,Extremeness Aversion,Entscheidung,Produkt-Evaluation,"People tend to avoid extreme options, preferring the middle choice.","Is there no clearly positioned ""middle"" option among the choices?",Position the target plan as the visually and logically middle option.
PC-051,Framing,Entscheidung,Produkt-Evaluation,Presenting the same fact as a gain or a loss changes its perceived value.,"Is a benefit stated only in gain terms (or only in loss terms), unexamined?",A/B test gain-framed vs. loss-framed copy for the same underlying fact.
PC-052,Having vs. Using Effect,Entscheidung,Produkt-Evaluation,Focusing on the experience of use is more persuasive than focusing on mere ownership.,"Does copy emphasize ""get/own"" rather than the experience of using it?","Describe the day-to-day experience of using the product, not just owning it."
PC-053,Inner Dialogue,Entscheidung,Produkt-Evaluation,Prompting a visitor's self-reflective inner dialogue increases engagement.,Are there no reflective or rhetorical questions posed to the visitor?,"Add a rhetorical question inviting self-reflection (""Tired of X?"")."
PC-054,Negativity Bias,Entscheidung,Produkt-Evaluation,Negative information weighs more heavily than positive information of equal size.,Are negative reviews or common complaints left unaddressed nearby?,Proactively and honestly address common objections near the decision point.
PC-055,Neomanie,Entscheidung,Produkt-Evaluation,A general preference for what is new over what is established.,"Are new or updated features not signaled as ""new""?",Explicitly highlight new or recently updated aspects of the product.
PC-056,Noble Edge Effect,Entscheidung,Produkt-Evaluation,"Companies seen as ethical or socially responsible are preferred, even at a premium.",Is there no visibility of sustainability or ethical practices?,Surface genuine ethical/sustainability credentials near the decision point.
PC-057,Not-Invented-Here Syndrome,Entscheidung,Produkt-Evaluation,Resistance to solutions the user did not have a hand in creating.,Is the offering rigid with zero customization or configuration?,Allow some personalization/configuration so users feel ownership.
PC-058,Paradox of Choice,Entscheidung,Produkt-Evaluation,Too many options reduce satisfaction and increase decision paralysis.,Is there a long list of similar plans/options with no guidance on which to pick?,Reduce the number of options or add a clearly marked recommended default.
PC-059,Price-Quality-Illusion,Entscheidung,Produkt-Evaluation,A higher price is unconsciously assumed to signal higher quality.,"Is the lowest-price option the most visually prominent, unintentionally signaling ""cheap = worse""?",Reconsider visual hierarchy so price doesn't unintentionally signal low quality.
PC-060,Time vs. Money Effect,Entscheidung,Produkt-Evaluation,Framing benefits in terms of time saved can be more persuasive than money saved.,"Is only monetary savings mentioned, with no time-saved framing?",Add a time-saved framing alongside any monetary framing.
PC-061,WYSIATI Effect,Entscheidung,Produkt-Evaluation,"People judge based only on visible information, ignoring what's missing (""what you see is all there is"").","Is important missing information (e.g. hidden fees) simply left out, relying on it not being noticed?",Surface all relevant information explicitly rather than relying on omission.
PC-062,Anchoring,Entscheidung,Preis-Evaluation,The first number seen strongly influences subsequent judgments of value.,Is there no reference or strikethrough price shown before the actual price?,Show a higher reference price before revealing the discounted price.
PC-063,Charm Price Effect,Entscheidung,Preis-Evaluation,Prices ending in .99/.90 are perceived as meaningfully cheaper than round numbers.,Is pricing shown as a round number (e.g. CHF 30.00)?,Test charm pricing (CHF 29.90) against round pricing.
PC-064,External Reference,Entscheidung,Preis-Evaluation,"Comparing price to an external, related benchmark increases perceived value.",Is there no comparison to an alternative or competing cost?,Add a price comparison to a relevant external benchmark.
PC-065,House Money Effect,Entscheidung,Preis-Evaluation,Money already saved or won is spent more freely than money earned.,Is a prior saving/credit not reminded to the user before an upsell?,Remind users of savings or credit already accrued right before an upsell.
PC-066,Magnitude Priming,Entscheidung,Preis-Evaluation,Exposure to a large number makes a subsequent smaller number feel smaller still.,Is the price shown with no larger number shown beforehand?,Show total annual or lifetime value before revealing the smaller monthly price.
PC-067,Money Illusion,Entscheidung,Preis-Evaluation,"People evaluate nominal prices rather than real, adjusted value.",Is there no context provided for whether a price is objectively good value?,Add a per-unit or per-day cost breakdown for context.
PC-068,Pennies-a-day Effect,Entscheidung,Preis-Evaluation,Breaking a price into small daily units makes it feel cheaper.,"Is only the total price shown, with no per-day breakdown?","Show the price broken into a ""per day"" figure alongside the total."
PC-069,Precision Heuristic,Entscheidung,Preis-Evaluation,Precise numbers feel more calculated and trustworthy than round ones.,Is pricing round and seemingly arbitrary (e.g. CHF 50.00)?,Use precise pricing where it genuinely reflects a real calculation.
PC-070,Rule of Hundred,Entscheidung,Preis-Evaluation,"Below CHF 100, percentage discounts feel bigger; above CHF 100, absolute discounts feel bigger.",Is the discount framing (% vs absolute) mismatched to the price magnitude?,Use % discounts under CHF 100 and absolute CHF discounts above CHF 100.
PC-071,Zero Price Effect,Entscheidung,Preis-Evaluation,"""Free"" is disproportionately more attractive than a small price, beyond its rational value.",Is there no free trial or free tier offered where one could feasibly exist?,Offer a genuinely free entry tier or trial instead of a token low price.
PC-072,Zero Risk Bias,Entscheidung,Preis-Evaluation,People overvalue completely eliminating a small risk versus reducing a larger one.,Is there no explicit guarantee that fully eliminates purchase risk?,"Offer and emphasize a guarantee that removes risk entirely, not just reduces it."
PC-073,Base Rate Fallacy,Entscheidung,Ueberzeugung,"People ignore general statistical likelihood in favor of vivid, specific information.",Does the page rely on an anecdote with no supporting base-rate statistic?,Pair a vivid testimonial with a supporting statistic.
PC-074,Black-and-White Fallacy,Entscheidung,Ueberzeugung,Presenting only two extreme options when more nuance genuinely exists.,"Is the choice framed as a false binary (""do this or fail"")?",Only use binary framing where genuinely true; otherwise show the real nuance.
PC-075,Disrupt-then-Reframe,Entscheidung,Ueberzeugung,Breaking an expected pattern makes the audience more receptive to what follows.,Is the offer structure entirely predictable with no pattern break?,Open with an unexpected framing before presenting the standard offer.
PC-076,Door-in-the-Face-Technik,Entscheidung,Ueberzeugung,"Starting with a large request makes a smaller, real request seem reasonable by comparison.","Is only one plan/ask shown, with no higher anchor option first?","Present a premium option first, then the target plan as the reasonable choice."
PC-077,Evoking Freedom,Entscheidung,Ueberzeugung,Explicitly affirming the user's freedom to choose or decline reduces resistance.,"Is the language pushy or freedom-limiting (""You must..."")?","Add explicit language affirming choice (""cancel anytime"", ""no obligation"")."
PC-078,False Consensus,Entscheidung,Ueberzeugung,People overestimate how much others share their views or choices.,Is there no signal of how common a given choice actually is?,Show adoption stats reinforcing that the choice is common.
PC-079,Foot-in-the-Door-Technik,Entscheidung,Ueberzeugung,Agreeing to a small request first increases compliance with a larger request later.,Does the funnel jump straight to full commitment with no small first step?,"Add a small, low-commitment first step (email signup, free tool) before the full ask."
PC-080,Hyperbolic Discounting,Entscheidung,Ueberzeugung,People overvalue immediate rewards relative to larger future rewards.,"Is only long-term value highlighted, with no immediate benefit called out?",Highlight an immediate benefit alongside the long-term value.
PC-081,Mere Agreement,Entscheidung,Ueberzeugung,Small verbal or written agreements increase the likelihood of a larger agreement later.,"Does the flow lack any small ""yes"" moments before the final ask?",Structure the form/quiz to elicit small agreements before the final ask.
PC-082,Mirroring,Entscheidung,Ueberzeugung,Matching the customer's own language and tone increases rapport and persuasion.,Is the copy tone mismatched to how the target audience actually speaks?,Adapt vocabulary and tone to match the target audience's own language.
PC-083,Money Omission,Entscheidung,Ueberzeugung,"Removing currency symbols/words from a price reduces the felt ""pain of paying.""",Is the currency symbol/word repeated heavily near the price?,"Test omitting the currency symbol in price display (e.g. ""29"" vs ""CHF 29.00"")."
PC-084,Moral Licensing,Entscheidung,Ueberzeugung,"After acting virtuously, people feel licensed to indulge afterward.","Is there no indulgent upsell positioned after a ""good"" choice step?",Position an indulgent add-on after a virtuous choice in the flow.
PC-085,Pseudo Justifikation,Entscheidung,Ueberzeugung,"People comply more readily when given any reason for a request, even a weak one.",Do requests/CTAs carry no stated reason at all?,"Add a brief ""because"" reason to key requests and CTAs."
PC-086,Reaktanz,Entscheidung,Ueberzeugung,People resist when they feel their freedom of choice is being threatened.,Is the copy aggressive or pressuring in tone?,Soften pressuring language and restore a visible sense of choice.
PC-087,Reverse Psychology,Entscheidung,Ueberzeugung,Suggesting the opposite of the desired action can increase compliance in reactance-prone moments.,"Not typically detectable as an absence; a niche, situational pattern.","Use sparingly, only where reactance is clearly present (e.g. ""not for everyone"" framing)."
PC-088,Reziprozitaet,Entscheidung,Ueberzeugung,People feel obligated to return value or favors given to them.,"Is there no free value offered before the ask (content, tool, sample)?",Offer something genuinely useful for free before asking for the sale.
PC-089,That's-Not-All-Technik,Entscheidung,Ueberzeugung,Adding a bonus before the customer can respond increases the offer's perceived value.,Is the offer a single flat price with no added bonus revealed?,Add a small bonus to the offer before presenting the final price.
PC-090,Unity,Entscheidung,Ueberzeugung,Emphasizing shared identity or group membership increases persuasion.,"Is there no ""we""/community framing anywhere in the copy?","Use ""join the community"" framing rather than purely transactional language."
PC-091,Zeitinkonsistenz,Entscheidung,Ueberzeugung,Preferences shift depending on how far away in time the decision or reward is.,Is there no differentiation between short-term and long-term commitment framing?,Offer flexible commitment lengths that match different time preferences.
PC-092,Anticipated Regret,Entscheidung,Entscheidung,The fear of future regret motivates people to act now.,Is there no honest framing of the regret from inaction?,"Add copy addressing the real cost of missing out, without exaggeration."
PC-093,Autonomy Bias,Entscheidung,Entscheidung,People prefer options that preserve their sense of control and choice.,Is the flow a single forced path with no meaningful options?,"Offer a small, meaningful (not overwhelming) choice within the flow."
PC-094,Cognitive Ease,Entscheidung,Entscheidung,Information that is easier to process feels more true and trustworthy.,Is the copy dense or the layout complex and hard to scan?,"Simplify language, increase whitespace, use a familiar, readable layout."
PC-095,Decision Fatigue,Entscheidung,Entscheidung,Decision quality declines the more decisions a person has already made.,Are there many choices required late in the checkout flow?,Reduce the number of choices/steps required near the end of checkout.
PC-096,Halo Effect,Entscheidung,Entscheidung,One strong positive trait causes broader positive assumptions about the whole.,"Is there no single strong credibility signal (award, notable client) shown early?",Lead with one strong credibility signal to positively color the overall impression.
PC-097,Hick's Law,Entscheidung,Entscheidung,The time to make a decision increases with the number and complexity of choices.,Are there too many navigation or CTA options on one screen?,Reduce the number of choices/CTAs presented on each screen.
PC-098,Hobson's +1 Choice Effect,Entscheidung,Entscheidung,Framing a single recommended option as the straightforward choice can simplify decisions.,Not typically an absence; a niche pattern for very simple offers.,"Use only where a genuine single recommended path exists, framed clearly as such."
PC-099,Loss Aversion,Entscheidung,Entscheidung,Losses are felt roughly twice as strongly as equivalent gains.,"Are benefits framed only as gains, never as losses avoided?","Reframe some benefit copy as ""avoid losing X"" rather than only ""gain X."""
PC-100,Mental Accounting,Entscheidung,Entscheidung,"People categorize money into separate mental ""accounts"" rather than treating it as fully fungible.",Is cost shown with no tie to a specific budget category the user already has?,"Frame cost against a specific existing budget category (e.g. ""less than your coffee spend"")."
PC-101,Priming,Entscheidung,Entscheidung,Prior exposure to a stimulus influences later judgments and behavior.,Is there no relevant priming imagery or wording placed before the ask?,Introduce imagery/words earlier in the flow that prime the desired association.
PC-102,Scarcity,Entscheidung,Entscheidung,Limited availability increases perceived value and urgency.,"Are there no genuine stock, slot, or time-limit signals shown?","Show real scarcity signals (stock level, deadline) only where genuinely true."
PC-103,Self-Benefit,Entscheidung,Entscheidung,Explicitly tying the offer to the user's personal benefit increases motivation.,"Is the benefit framed abstractly or for others, not the visitor directly?","Rewrite benefit copy in second person, tied to the user's specific outcome."
PC-104,Diderot Effect,Entscheidung,Cross-Up-Selling,Acquiring one item increases desire for complementary items that match it.,Is there no complementary product shown after purchase?,"Show complementary products that ""complete the set"" post-purchase."
PC-105,Low Ball Effect,Entscheidung,Cross-Up-Selling,"Securing commitment on favorable terms, then adjusting them, still yields higher compliance than starting with real terms.",Ethically sensitive pattern — check whether pricing/terms shift after initial commitment without clear disclosure.,"Ensure any change in price or terms after initial commitment is disclosed immediately and clearly, never exploited."
PC-106,Action Bias,Entscheidung,Abschluss,"People prefer doing something over doing nothing, even when inaction would be better.",Is there no clear single next action immediately after the decision is made?,Give an unmistakable single next step right after commitment.
PC-107,Cheering,Entscheidung,Abschluss,Positive reinforcement or celebration after an action increases satisfaction and completion.,Is the confirmation screen flat and purely transactional?,Add a small celebratory moment (visual/message) after purchase or signup.
PC-108,Commitment and Consistency,Entscheidung,Abschluss,People act consistently with commitments and statements they've already made.,Is an earlier micro-commitment not referenced at the point of final commitment?,Reference the user's earlier stated preference or goal at the final ask.
PC-109,Confirmation Bias,Entscheidung,Abschluss,People favor information that confirms their existing beliefs.,Does the copy fail to open with something that confirms the visitor's likely existing belief or pain point?,Open with a statement that confirms the visitor's existing belief or pain point.
PC-110,Flow,Entscheidung,Abschluss,A state of full engagement and absorption increases persistence through a task.,"Is checkout interrupted by friction (CAPTCHA, forced account creation) that breaks concentration?",Remove unnecessary interruptions from the checkout sequence.
PC-111,Hindsight Bias,Entscheidung,Abschluss,"After an outcome is known, it is seen as having been predictable all along.",Not usually detectable pre-purchase; more relevant to retention messaging.,"Leverage in retention copy (""you knew this was the right choice"")."
PC-112,Illusion of Control,Entscheidung,Abschluss,People overestimate their control or influence over outcomes.,Is the process passive and opaque with no visible user control?,Give visible controls or customization even where the outcome is largely fixed.
PC-113,Motivating Uncertainty Effect,Entscheidung,Abschluss,"Uncertain, variable rewards can be more motivating than certain ones of the same average value.",Is the reward/loyalty structure fixed and entirely predictable?,Consider a variable-reward element (surprise bonus) in loyalty or gamification design.
PC-114,Overjustification Effect,Entscheidung,Abschluss,Adding extrinsic rewards for an already intrinsically motivated action can reduce that motivation.,Relevant mainly to loyalty-program design; check for over-rewarding routine actions.,Avoid over-rewarding actions users would already do anyway; reserve incentives for genuinely marginal actions.
PC-115,Progressive Disclosure,Entscheidung,Abschluss,"Revealing information gradually, only as needed, reduces cognitive load.",Are all form fields or information shown at once regardless of relevance?,"Break long forms/information into progressive steps, showing fields only when relevant."
PC-116,Response Efficacy,Entscheidung,Abschluss,Belief that the recommended action will actually solve the problem increases willingness to act.,Is there no proof that the product actually delivers on the stated problem?,"Add proof (data, testimonial, guarantee) that the product delivers the promised outcome."
PC-117,Self-Efficacy,Entscheidung,Abschluss,Belief in one's own ability to successfully complete an action.,Does the process look complex with no reassurance of ease?,"Reassure users the process is easy and fast (""takes 2 minutes"")."
PC-118,Buyer's Remorse,Kundenbindung,Zufriedenheit,Post-purchase regret or anxiety that can lead to cancellation or return.,Is there no reassurance messaging immediately after purchase?,Send a reassuring confirmation message reinforcing that the decision was sound.
PC-119,Cognitive Dissonance,Kundenbindung,Zufriedenheit,"Discomfort from conflicting beliefs or actions, resolved by rationalizing the choice made.",Is there no reinforcing messaging after purchase to help resolve any doubt?,Reinforce the positive reasons for the choice in post-purchase communication.
PC-120,Endowment Effect,Kundenbindung,Zufriedenheit,People value things more once they own or possess them.,Is there no trial-ownership period offered before final commitment?,Offer a trial period so users experience ownership before committing fully.
PC-121,Inequity Aversion,Kundenbindung,Zufriedenheit,"People are sensitive to unfairness, both to themselves and to others.","Do existing customers get visibly worse deals than new customers, unacknowledged?","Ensure existing customers aren't visibly worse off than new signups, or address the gap directly."
PC-122,Labor Love Effect,Kundenbindung,Zufriedenheit,People value things more when they've invested effort into creating or configuring them.,Is there no customization or configuration step offered?,Add a configuration or personalization step that requires some user effort.
PC-123,Pain-of-Paying Principle,Kundenbindung,Zufriedenheit,The psychological discomfort of paying is reduced when payment is decoupled from consumption.,"Is the payment moment tightly coupled to the consumption moment, maximizing felt pain?","Decouple payment timing from usage where possible (subscriptions, saved payment methods)."
PC-124,Peak-End Rule,Kundenbindung,Zufriedenheit,"Experiences are judged mainly by their peak moment and how they end, not the average.",Is the ending of checkout or onboarding weak or abrupt?,"Design a strong, positive peak moment and a clear, satisfying ending."
PC-125,Post-Purchase Rationalization,Kundenbindung,Zufriedenheit,People justify their purchases after the fact to reduce dissonance.,Is there no supporting content sent after purchase to reinforce the decision?,Send post-purchase content that reinforces the value of the decision made.
PC-126,Competition,Kundenbindung,Loyalitaet,Competitive framing against others increases engagement and motivation.,Is there no leaderboard or comparative element where one could be relevant?,Add a light competitive or comparative element (progress vs. peers) where appropriate.
PC-127,Endowed Progress Effect,Kundenbindung,Loyalitaet,People are more motivated to finish a task when they perceive they've already made some progress.,Does a progress bar start at 0% even when the user has completed preliminary steps?,Start the progress bar partially filled to reflect steps already taken.
PC-128,Fresh Start Effect,Kundenbindung,Loyalitaet,"Temporal landmarks (new year, birthday, Monday) increase motivation to commit to new behaviors.",Is offer timing unrelated to any natural fresh-start moment?,Time offers or messaging around natural fresh-start moments.
PC-129,Mayfly Effect,Kundenbindung,Loyalitaet,"Perceiving a trigger as fleeting causes an outsized, urgent reaction to it.",Is there no framing of the moment as short-lived where one genuinely exists?,Use fleeting-moment framing only where a real time-bound trigger exists.
PC-130,Privilege,Kundenbindung,Loyalitaet,Making customers feel specially selected or privileged increases loyalty.,"Is treatment of all customers undifferentiated, with no exclusive or tiered elements?","Add a sense of exclusive access or status for loyal customers (early access, special tier)."
PC-131,Sunk Cost Fallacy,Kundenbindung,Loyalitaet,"People continue a behavior because of resources already invested, even when irrational.",Is time/effort already invested by the customer not referenced when prompting renewal?,Reference the value or progress already invested when prompting renewal.
